X	Y	Type
-66.27092814	44.64659302	Shipping
-66.26092813	44.64659302	Shipping
-66.25092813	44.64659302	Shipping
-66.24092813	44.64659302	Shipping
-66.23092813	44.64659302	Shipping
-66.22092813	44.64659302	Shipping
-66.21092813	44.64659302	Shipping
-66.20092813	44.64659302	Shipping
-66.19092813	44.64659302	Shipping
-66.33092814	44.63659302	Shipping
-66.32092814	44.63659302	Shipping
-66.31092814	44.63659302	Shipping
-66.30092814	44.63659302	Shipping
-66.29092814	44.63659302	Shipping
-66.28092814	44.63659302	Shipping
-66.27092814	44.63659302	Shipping
-66.26092813	44.63659302	Shipping
-66.25092813	44.63659302	Shipping
-66.24092813	44.63659302	Shipping
-66.23092813	44.63659302	Shipping
-66.22092813	44.63659302	Shipping
-66.21092813	44.63659302	Shipping
-66.20092813	44.63659302	Shipping
-66.33092814	44.62659302	Shipping
-66.32092814	44.62659302	Shipping
-66.31092814	44.62659302	Shipping
-66.30092814	44.62659302	Shipping
-66.29092814	44.62659302	Shipping
-66.28092814	44.62659302	Shipping
-66.27092814	44.62659302	Shipping
-66.26092813	44.62659302	Shipping
-66.25092813	44.62659302	Shipping
-66.24092813	44.62659302	Shipping
-66.23092813	44.62659302	Shipping
-66.22092813	44.62659302	Shipping
-66.21092813	44.62659302	Shipping
-66.20092813	44.62659302	Shipping
-66.34092815	44.61659301	Shipping
-66.33092814	44.61659301	Shipping
-66.32092814	44.61659301	Shipping
-66.31092814	44.61659301	Shipping
-66.30092814	44.61659301	Shipping
-66.29092814	44.61659301	Shipping
-66.28092814	44.61659301	Shipping
-66.27092814	44.61659301	Shipping
-66.26092813	44.61659301	Shipping
-66.25092813	44.61659301	Shipping
-66.24092813	44.61659301	Shipping
-66.23092813	44.61659301	Shipping
-66.22092813	44.61659301	Shipping
-66.21092813	44.61659301	Shipping
-66.20092813	44.61659301	Shipping
-66.34092815	44.60659301	Shipping
-66.33092814	44.60659301	Shipping
-66.32092814	44.60659301	Shipping
-66.31092814	44.60659301	Shipping
-66.30092814	44.60659301	Shipping
-66.29092814	44.60659301	Shipping
-66.28092814	44.60659301	Shipping
-66.27092814	44.60659301	Shipping
-66.26092813	44.60659301	Shipping
-66.25092813	44.60659301	Shipping
-66.24092813	44.60659301	Shipping
-66.23092813	44.60659301	Shipping
-66.22092813	44.60659301	Shipping
-66.21092813	44.60659301	Shipping
-66.34092815	44.59659301	Shipping
-66.33092814	44.59659301	Shipping
-66.32092814	44.59659301	Shipping
-66.31092814	44.59659301	Shipping
-66.30092814	44.59659301	Shipping
-66.29092814	44.59659301	Shipping
-66.28092814	44.59659301	Shipping
-66.27092814	44.59659301	Shipping
-66.26092813	44.59659301	Shipping
-66.25092813	44.59659301	Shipping
-66.24092813	44.59659301	Shipping
-66.23092813	44.59659301	Shipping
-66.22092813	44.59659301	Shipping
-66.21092813	44.59659301	Shipping
-66.35092815	44.58659301	Shipping
-66.34092815	44.58659301	Shipping
-66.33092814	44.58659301	Shipping
-66.32092814	44.58659301	Shipping
-66.31092814	44.58659301	Shipping
-66.30092814	44.58659301	Shipping
-66.29092814	44.58659301	Shipping
-66.28092814	44.58659301	Shipping
-66.27092814	44.58659301	Shipping
-66.26092813	44.58659301	Shipping
-66.25092813	44.58659301	Shipping
-66.24092813	44.58659301	Shipping
-66.23092813	44.58659301	Shipping
-66.22092813	44.58659301	Shipping
-66.21092813	44.58659301	Shipping
-66.35092815	44.57659301	Shipping
-66.34092815	44.57659301	Shipping
-66.33092814	44.57659301	Shipping
-66.32092814	44.57659301	Shipping
-66.31092814	44.57659301	Shipping
-66.30092814	44.57659301	Shipping
-66.29092814	44.57659301	Shipping
-66.28092814	44.57659301	Shipping
-66.27092814	44.57659301	Shipping
-66.26092813	44.57659301	Shipping
-66.25092813	44.57659301	Shipping
-66.24092813	44.57659301	Shipping
-66.23092813	44.57659301	Shipping
-66.22092813	44.57659301	Shipping
-66.35092815	44.56659301	Shipping
-66.34092815	44.56659301	Shipping
-66.33092814	44.56659301	Shipping
-66.32092814	44.56659301	Shipping
-66.31092814	44.56659301	Shipping
-66.30092814	44.56659301	Shipping
-66.29092814	44.56659301	Shipping
-66.28092814	44.56659301	Shipping
-66.27092814	44.56659301	Shipping
-66.26092813	44.56659301	Shipping
-66.25092813	44.56659301	Shipping
-66.24092813	44.56659301	Shipping
-66.23092813	44.56659301	Shipping
-66.22092813	44.56659301	Shipping
-66.36092815	44.55659301	Shipping
-66.35092815	44.55659301	Shipping
-66.34092815	44.55659301	Shipping
-66.33092814	44.55659301	Shipping
-66.32092814	44.55659301	Shipping
-66.31092814	44.55659301	Shipping
-66.30092814	44.55659301	Shipping
-66.29092814	44.55659301	Shipping
-66.28092814	44.55659301	Shipping
-66.27092814	44.55659301	Shipping
-66.26092813	44.55659301	Shipping
-66.25092813	44.55659301	Shipping
-66.24092813	44.55659301	Shipping
-66.23092813	44.55659301	Shipping
-66.37092815	44.54659301	Shipping
-66.36092815	44.54659301	Shipping
-66.35092815	44.54659301	Shipping
-66.34092815	44.54659301	Shipping
-66.33092814	44.54659301	Shipping
-66.32092814	44.54659301	Shipping
-66.31092814	44.54659301	Shipping
-66.30092814	44.54659301	Shipping
-66.29092814	44.54659301	Shipping
-66.28092814	44.54659301	Shipping
-66.27092814	44.54659301	Shipping
-66.26092813	44.54659301	Shipping
-66.25092813	44.54659301	Shipping
-66.24092813	44.54659301	Shipping
-66.23092813	44.54659301	Shipping
-66.39092815	44.536593	Shipping
-66.38092815	44.536593	Shipping
-66.37092815	44.536593	Shipping
-66.36092815	44.536593	Shipping
-66.35092815	44.536593	Shipping
-66.34092815	44.536593	Shipping
-66.33092814	44.536593	Shipping
-66.32092814	44.536593	Shipping
-66.31092814	44.536593	Shipping
-66.30092814	44.536593	Shipping
-66.29092814	44.536593	Shipping
-66.28092814	44.536593	Shipping
-66.27092814	44.536593	Shipping
-66.26092813	44.536593	Shipping
-66.25092813	44.536593	Shipping
-66.24092813	44.536593	Shipping
-66.23092813	44.536593	Shipping
-66.41092816	44.526593	Shipping
-66.40092815	44.526593	Shipping
-66.39092815	44.526593	Shipping
-66.38092815	44.526593	Shipping
-66.37092815	44.526593	Shipping
-66.36092815	44.526593	Shipping
-66.35092815	44.526593	Shipping
-66.34092815	44.526593	Shipping
-66.33092814	44.526593	Shipping
-66.32092814	44.526593	Shipping
-66.31092814	44.526593	Shipping
-66.30092814	44.526593	Shipping
-66.29092814	44.526593	Shipping
-66.28092814	44.526593	Shipping
-66.27092814	44.526593	Shipping
-66.26092813	44.526593	Shipping
-66.25092813	44.526593	Shipping
-66.24092813	44.526593	Shipping
-66.43092816	44.516593	Shipping
-66.42092816	44.516593	Shipping
-66.41092816	44.516593	Shipping
-66.40092815	44.516593	Shipping
-66.39092815	44.516593	Shipping
-66.38092815	44.516593	Shipping
-66.37092815	44.516593	Shipping
-66.36092815	44.516593	Shipping
-66.35092815	44.516593	Shipping
-66.34092815	44.516593	Shipping
-66.33092814	44.516593	Shipping
-66.32092814	44.516593	Shipping
-66.31092814	44.516593	Shipping
-66.30092814	44.516593	Shipping
-66.29092814	44.516593	Shipping
-66.28092814	44.516593	Shipping
-66.27092814	44.516593	Shipping
-66.26092813	44.516593	Shipping
-66.25092813	44.516593	Shipping
-66.24092813	44.516593	Shipping
-66.45092816	44.506593	Shipping
-66.44092816	44.506593	Shipping
-66.43092816	44.506593	Shipping
-66.42092816	44.506593	Shipping
-66.41092816	44.506593	Shipping
-66.40092815	44.506593	Shipping
-66.39092815	44.506593	Shipping
-66.38092815	44.506593	Shipping
-66.37092815	44.506593	Shipping
-66.36092815	44.506593	Shipping
-66.35092815	44.506593	Shipping
-66.34092815	44.506593	Shipping
-66.33092814	44.506593	Shipping
-66.32092814	44.506593	Shipping
-66.31092814	44.506593	Shipping
-66.30092814	44.506593	Shipping
-66.29092814	44.506593	Shipping
-66.28092814	44.506593	Shipping
-66.27092814	44.506593	Shipping
-66.26092813	44.506593	Shipping
-66.25092813	44.506593	Shipping
-66.24092813	44.506593	Shipping
-66.47092816	44.496593	Shipping
-66.46092816	44.496593	Shipping
-66.45092816	44.496593	Shipping
-66.44092816	44.496593	Shipping
