lat	long	Type
24.5375	-81.71583333	Prohibited MPAs
24.5375	-81.71083333	Prohibited MPAs
24.5375	-81.70583333	Prohibited MPAs
24.5375	-81.70083333	Prohibited MPAs
24.5375	-81.69583333	Prohibited MPAs
24.5375	-81.69083333	Prohibited MPAs
24.5375	-81.68583333	Prohibited MPAs
24.5325	-81.72083333	Prohibited MPAs
24.5325	-81.71583333	Prohibited MPAs
24.5325	-81.71083333	Prohibited MPAs
24.5325	-81.70583333	Prohibited MPAs
24.5325	-81.70083333	Prohibited MPAs
24.5325	-81.69583333	Prohibited MPAs
24.5325	-81.69083333	Prohibited MPAs
24.5275	-81.72083333	Prohibited MPAs
24.5275	-81.71583333	Prohibited MPAs
24.5275	-81.71083333	Prohibited MPAs
24.5275	-81.70583333	Prohibited MPAs
24.5275	-81.70083333	Prohibited MPAs
24.5275	-81.69583333	Prohibited MPAs
24.5275	-81.69083333	Prohibited MPAs
24.5225	-81.72083333	Prohibited MPAs
24.5225	-81.71583333	Prohibited MPAs
24.5225	-81.71083333	Prohibited MPAs
24.5225	-81.70583333	Prohibited MPAs
24.5225	-81.70083333	Prohibited MPAs
24.5225	-81.69583333	Prohibited MPAs
24.5225	-81.69083333	Prohibited MPAs
24.5175	-81.72083333	Prohibited MPAs
24.5175	-81.71583333	Prohibited MPAs
24.5175	-81.71083333	Prohibited MPAs
24.5175	-81.70583333	Prohibited MPAs
24.5175	-81.70083333	Prohibited MPAs
24.5175	-81.69583333	Prohibited MPAs
24.5175	-81.69083333	Prohibited MPAs
24.5125	-81.72083333	Prohibited MPAs
24.5125	-81.71583333	Prohibited MPAs
24.5125	-81.71083333	Prohibited MPAs
24.5125	-81.70583333	Prohibited MPAs
24.5125	-81.70083333	Prohibited MPAs
24.5125	-81.69583333	Prohibited MPAs
24.5075	-81.72083333	Prohibited MPAs
24.5075	-81.71583333	Prohibited MPAs
24.5075	-81.71083333	Prohibited MPAs
24.5075	-81.70583333	Prohibited MPAs
24.5075	-81.70083333	Prohibited MPAs
24.5075	-81.69583333	Prohibited MPAs
24.5025	-81.72083333	Prohibited MPAs
24.5025	-81.71583333	Prohibited MPAs
24.5025	-81.71083333	Prohibited MPAs
24.5025	-81.70583333	Prohibited MPAs
24.5025	-81.70083333	Prohibited MPAs
24.5025	-81.69583333	Prohibited MPAs
24.4975	-81.72083333	Prohibited MPAs
24.4975	-81.71583333	Prohibited MPAs
24.4975	-81.71083333	Prohibited MPAs
24.4975	-81.70583333	Prohibited MPAs
24.4975	-81.70083333	Prohibited MPAs
24.4975	-81.69583333	Prohibited MPAs
24.4925	-81.72583333	Prohibited MPAs
24.4925	-81.72083333	Prohibited MPAs
24.4925	-81.71583333	Prohibited MPAs
24.4925	-81.71083333	Prohibited MPAs
24.4925	-81.70583333	Prohibited MPAs
24.4925	-81.70083333	Prohibited MPAs
24.4925	-81.69583333	Prohibited MPAs
24.4925	-81.66583333	Prohibited MPAs
24.4925	-81.66083333	Prohibited MPAs
24.4875	-81.72583333	Prohibited MPAs
24.4875	-81.72083333	Prohibited MPAs
24.4875	-81.71583333	Prohibited MPAs
24.4875	-81.71083333	Prohibited MPAs
24.4875	-81.70583333	Prohibited MPAs
24.4875	-81.70083333	Prohibited MPAs
24.4825	-81.72583333	Prohibited MPAs
24.4825	-81.72083333	Prohibited MPAs
24.4825	-81.71583333	Prohibited MPAs
24.4825	-81.71083333	Prohibited MPAs
24.4825	-81.70583333	Prohibited MPAs
24.4825	-81.70083333	Prohibited MPAs
24.4775	-81.72583333	Prohibited MPAs
24.4775	-81.72083333	Prohibited MPAs
24.4775	-81.71583333	Prohibited MPAs
