lat	long	Type
34.27037196	-75.88486025	HAPC Hard Bottom
34.27037196	-75.87986025	HAPC Hard Bottom
34.27037196	-75.87486025	HAPC Hard Bottom
34.27037196	-75.86986025	HAPC Hard Bottom
34.27037196	-75.86486025	HAPC Hard Bottom
34.27037196	-75.85986025	HAPC Hard Bottom
34.27037196	-75.85486025	HAPC Hard Bottom
34.27037196	-75.84986025	HAPC Hard Bottom
34.27037196	-75.84486025	HAPC Hard Bottom
34.26537196	-75.88986025	HAPC Hard Bottom
34.26537196	-75.88486025	HAPC Hard Bottom
34.26537196	-75.87986025	HAPC Hard Bottom
34.26537196	-75.87486025	HAPC Hard Bottom
34.26537196	-75.86986025	HAPC Hard Bottom
34.26537196	-75.86486025	HAPC Hard Bottom
34.26537196	-75.85986025	HAPC Hard Bottom
34.26537196	-75.85486025	HAPC Hard Bottom
34.26537196	-75.84986025	HAPC Hard Bottom
34.26037196	-75.89486025	HAPC Hard Bottom
34.26037196	-75.88986025	HAPC Hard Bottom
34.26037196	-75.88486025	HAPC Hard Bottom
34.26037196	-75.87986025	HAPC Hard Bottom
34.26037196	-75.87486025	HAPC Hard Bottom
34.26037196	-75.86986025	HAPC Hard Bottom
34.26037196	-75.86486025	HAPC Hard Bottom
34.26037196	-75.85986025	HAPC Hard Bottom
34.26037196	-75.85486025	HAPC Hard Bottom
34.26037196	-75.84986025	HAPC Hard Bottom
34.25537196	-75.89986025	HAPC Hard Bottom
34.25537196	-75.89486025	HAPC Hard Bottom
34.25537196	-75.88986025	HAPC Hard Bottom
34.25537196	-75.88486025	HAPC Hard Bottom
34.25537196	-75.87986025	HAPC Hard Bottom
34.25537196	-75.87486025	HAPC Hard Bottom
34.25537196	-75.86986025	HAPC Hard Bottom
34.25537196	-75.86486025	HAPC Hard Bottom
34.25537196	-75.85986025	HAPC Hard Bottom
34.25537196	-75.85486025	HAPC Hard Bottom
34.25537196	-75.84986025	HAPC Hard Bottom
34.25037196	-75.90486025	HAPC Hard Bottom
34.25037196	-75.89986025	HAPC Hard Bottom
34.25037196	-75.89486025	HAPC Hard Bottom
34.25037196	-75.88986025	HAPC Hard Bottom
34.25037196	-75.88486025	HAPC Hard Bottom
34.25037196	-75.87986025	HAPC Hard Bottom
34.25037196	-75.87486025	HAPC Hard Bottom
34.25037196	-75.86986025	HAPC Hard Bottom
34.25037196	-75.86486025	HAPC Hard Bottom
34.25037196	-75.85986025	HAPC Hard Bottom
34.25037196	-75.85486025	HAPC Hard Bottom
34.24537196	-75.90986025	HAPC Hard Bottom
34.24537196	-75.90486025	HAPC Hard Bottom
34.24537196	-75.89986025	HAPC Hard Bottom
34.24537196	-75.89486025	HAPC Hard Bottom
34.24537196	-75.88986025	HAPC Hard Bottom
34.24537196	-75.88486025	HAPC Hard Bottom
34.24537196	-75.87986025	HAPC Hard Bottom
34.24537196	-75.87486025	HAPC Hard Bottom
34.24537196	-75.86986025	HAPC Hard Bottom
34.24537196	-75.86486025	HAPC Hard Bottom
34.24537196	-75.85986025	HAPC Hard Bottom
34.24537196	-75.85486025	HAPC Hard Bottom
34.24037196	-75.91486025	HAPC Hard Bottom
34.24037196	-75.90986025	HAPC Hard Bottom
34.24037196	-75.90486025	HAPC Hard Bottom
34.24037196	-75.89986025	HAPC Hard Bottom
34.24037196	-75.89486025	HAPC Hard Bottom
34.24037196	-75.88986025	HAPC Hard Bottom
34.24037196	-75.88486025	HAPC Hard Bottom
34.24037196	-75.87986025	HAPC Hard Bottom
34.24037196	-75.87486025	HAPC Hard Bottom
34.24037196	-75.86986025	HAPC Hard Bottom
34.24037196	-75.86486025	HAPC Hard Bottom
34.24037196	-75.85986025	HAPC Hard Bottom
34.24037196	-75.85486025	HAPC Hard Bottom
34.23537196	-75.91986025	HAPC Hard Bottom
34.23537196	-75.91486025	HAPC Hard Bottom
34.23537196	-75.90986025	HAPC Hard Bottom
34.23537196	-75.90486025	HAPC Hard Bottom
34.23537196	-75.89986025	HAPC Hard Bottom
34.23537196	-75.89486025	HAPC Hard Bottom
34.23537196	-75.88986025	HAPC Hard Bottom
34.23537196	-75.88486025	HAPC Hard Bottom
34.23537196	-75.87986025	HAPC Hard Bottom
34.23537196	-75.87486025	HAPC Hard Bottom
34.23537196	-75.86986025	HAPC Hard Bottom
34.23537196	-75.86486025	HAPC Hard Bottom
34.23537196	-75.85986025	HAPC Hard Bottom
34.23537196	-75.85486025	HAPC Hard Bottom
34.23037196	-75.92486025	HAPC Hard Bottom
34.23037196	-75.91986025	HAPC Hard Bottom
34.23037196	-75.91486025	HAPC Hard Bottom
34.23037196	-75.90986025	HAPC Hard Bottom
34.23037196	-75.90486025	HAPC Hard Bottom
34.23037196	-75.89986025	HAPC Hard Bottom
34.23037196	-75.89486025	HAPC Hard Bottom
34.23037196	-75.88986025	HAPC Hard Bottom
34.23037196	-75.88486025	HAPC Hard Bottom
34.23037196	-75.87986025	HAPC Hard Bottom
34.23037196	-75.87486025	HAPC Hard Bottom
34.23037196	-75.86986025	HAPC Hard Bottom
34.23037196	-75.86486025	HAPC Hard Bottom
34.23037196	-75.85986025	HAPC Hard Bottom
34.23037196	-75.85486025	HAPC Hard Bottom
34.22537196	-75.92486025	HAPC Hard Bottom
34.22537196	-75.91986025	HAPC Hard Bottom
34.22537196	-75.91486025	HAPC Hard Bottom
34.22537196	-75.90986025	HAPC Hard Bottom
34.22537196	-75.90486025	HAPC Hard Bottom
34.22537196	-75.89986025	HAPC Hard Bottom
34.22537196	-75.89486025	HAPC Hard Bottom
34.22537196	-75.88986025	HAPC Hard Bottom
34.22537196	-75.88486025	HAPC Hard Bottom
34.22537196	-75.87986025	HAPC Hard Bottom
34.22537196	-75.87486025	HAPC Hard Bottom
34.22537196	-75.86986025	HAPC Hard Bottom
34.22537196	-75.86486025	HAPC Hard Bottom
34.22537196	-75.85986025	HAPC Hard Bottom
34.22037196	-75.92986025	HAPC Hard Bottom
34.22037196	-75.92486025	HAPC Hard Bottom
34.22037196	-75.91986025	HAPC Hard Bottom
34.22037196	-75.91486025	HAPC Hard Bottom
34.22037196	-75.90986025	HAPC Hard Bottom
34.22037196	-75.90486025	HAPC Hard Bottom
34.22037196	-75.89986025	HAPC Hard Bottom
34.22037196	-75.89486025	HAPC Hard Bottom
34.22037196	-75.88986025	HAPC Hard Bottom
34.22037196	-75.88486025	HAPC Hard Bottom
34.22037196	-75.87986025	HAPC Hard Bottom
34.22037196	-75.87486025	HAPC Hard Bottom
34.22037196	-75.86986025	HAPC Hard Bottom
34.22037196	-75.86486025	HAPC Hard Bottom
34.21537196	-75.93486025	HAPC Hard Bottom
34.21537196	-75.92986025	HAPC Hard Bottom
34.21537196	-75.92486025	HAPC Hard Bottom
34.21537196	-75.91986025	HAPC Hard Bottom
34.21537196	-75.91486025	HAPC Hard Bottom
34.21537196	-75.90986025	HAPC Hard Bottom
34.21537196	-75.90486025	HAPC Hard Bottom
34.21537196	-75.89986025	HAPC Hard Bottom
34.21537196	-75.89486025	HAPC Hard Bottom
34.21537196	-75.88986025	HAPC Hard Bottom
34.21537196	-75.88486025	HAPC Hard Bottom
34.21537196	-75.87986025	HAPC Hard Bottom
34.21537196	-75.87486025	HAPC Hard Bottom
34.21037196	-75.93986025	HAPC Hard Bottom
34.21037196	-75.93486025	HAPC Hard Bottom
34.21037196	-75.92986025	HAPC Hard Bottom
34.21037196	-75.92486025	HAPC Hard Bottom
34.21037196	-75.91986025	HAPC Hard Bottom
34.21037196	-75.91486025	HAPC Hard Bottom
34.21037196	-75.90986025	HAPC Hard Bottom
34.21037196	-75.90486025	HAPC Hard Bottom
34.21037196	-75.89986025	HAPC Hard Bottom
34.21037196	-75.89486025	HAPC Hard Bottom
34.21037196	-75.88986025	HAPC Hard Bottom
34.21037196	-75.88486025	HAPC Hard Bottom
34.20537196	-75.94486025	HAPC Hard Bottom
34.20537196	-75.93986025	HAPC Hard Bottom
34.20537196	-75.93486025	HAPC Hard Bottom
34.20537196	-75.92986025	HAPC Hard Bottom
34.20537196	-75.92486025	HAPC Hard Bottom
34.20537196	-75.91986025	HAPC Hard Bottom
34.20537196	-75.91486025	HAPC Hard Bottom
34.20537196	-75.90986025	HAPC Hard Bottom
34.20537196	-75.90486025	HAPC Hard Bottom
34.20537196	-75.89986025	HAPC Hard Bottom
34.20537196	-75.89486025	HAPC Hard Bottom
34.20537196	-75.88986025	HAPC Hard Bottom
34.20037196	-75.94986025	HAPC Hard Bottom
34.20037196	-75.94486025	HAPC Hard Bottom
34.20037196	-75.93986025	HAPC Hard Bottom
34.20037196	-75.93486025	HAPC Hard Bottom
34.20037196	-75.92986025	HAPC Hard Bottom
